시도,행정구역,산업대,2019 년,2020 년
부산광역시,전체,J.정보통신,1463,1516
부산광역시,전체,K.금융보험,2885,2732
부산광역시,전체,L.부동산업,6845,6480
부산광역시,전체,M.전문기술,5680,5626
부산광역시,전체,N.사업시설,4118,3636
부산광역시,전체,P.교육,6509,5674
부산광역시,전체,Q.보건복지,9183,9212
부산광역시,전체,R.예술스포츠,3204,2207
부산광역시,전체,S.협회단체,10174,8514
부산광역시,중구,전체,7228,6099
부산광역시,중구,A.농림어업,20,18
부산광역시,중구,B.광업,2,1
부산광역시,중구,C.제조업,185,171
부산광역시,중구,D.전기가스,0,0
부산광역시,중구,E.수도하수,7,8
부산광역시,중구,F.건설업,88,79
부산광역시,중구,G.도소매업,2115,1666
부산광역시,중구,H.운수창고,1671,1643
부산광역시,중구,I.숙박음식,1362,932
부산광역시,중구,J.정보통신,65,58
부산광역시,중구,K.금융보험,165,140
부산광역시,중구,L.부동산업,248,250
부산광역시,중구,M.전문기술,204,179
부산광역시,중구,N.사업시설,307,269
부산광역시,중구,P.교육,99,84
부산광역시,중구,Q.보건복지,220,222
부산광역시,중구,R.예술스포츠,107,79
부산광역시,중구,S.협회단체,363,300
부산광역시,서구,전체,4473,3719
부산광역시,서구,A.농림어업,18,17
부산광역시,서구,B.광업,3,2
부산광역시,서구,C.제조업,260,208
부산광역시,서구,D.전기가스,3,4
부산광역시,서구,E.수도하수,9,8
부산광역시,서구,F.건설업,163,120
부산광역시,서구,G.도소매업,1566,1384
부산광역시,서구,H.운수창고,180,144
부산광역시,서구,I.숙박음식,938,607
부산광역시,서구,J.정보통신,22,18
부산광역시,서구,K.금융보험,53,53
부산광역시,서구,L.부동산업,162,137
부산광역시,서구,M.전문기술,92,91
부산광역시,서구,N.사업시설,139,122
부산광역시,서구,P.교육,167,159
부산광역시,서구,Q.보건복지,269,284
부산광역시,서구,R.예술스포츠,81,64
부산광역시,서구,S.협회단체,348,297
부산광역시,동구,전체,6323,5594
부산광역시,동구,A.농림어업,4,4
부산광역시,동구,B.광업,2,1
부산광역시,동구,C.제조업,340,269
부산광역시,동구,D.전기가스,2,2
부산광역시,동구,E.수도하수,9,9
부산광역시,동구,F.건설업,316,268
부산광역시,동구,G.도소매업,1556,1269
부산광역시,동구,H.운수창고,540,490
부산광역시,동구,I.숙박음식,928,745
부산광역시,동구,J.정보통신,92,99
부산광역시,동구,K.금융보험,344,337
부산광역시,동구,L.부동산업,267,271
부산광역시,동구,M.전문기술,335,350
부산광역시,동구,N.사업시설,389,347
부산광역시,동구,P.교육,120,119
부산광역시,동구,Q.보건복지,383,372
부산광역시,동구,R.예술스포츠,80,62
부산광역시,동구,S.협회단체,616,580
부산광역시,영도구,전체,4294,3710
부산광역시,영도구,A.농림어업,3,4
부산광역시,영도구,B.광업,0,0
부산광역시,영도구,C.제조업,1098,984
부산광역시,영도구,D.전기가스,1,1
부산광역시,영도구,E.수도하수,17,16
부산광역시,영도구,F.건설업,221,121
부산광역시,영도구,G.도소매업,822,764
부산광역시,영도구,H.운수창고,166,161
부산광역시,영도구,I.숙박음식,718,498
부산광역시,영도구,J.정보통신,30,33
부산광역시,영도구,K.금융보험,39,37
부산광역시,영도구,L.부동산업,152,158
부산광역시,영도구,M.전문기술,78,81
부산광역시,영도구,N.사업시설,114,95
부산광역시,영도구,P.교육,139,117
부산광역시,영도구,Q.보건복지,286,288
부산광역시,영도구,R.예술스포츠,72,50
부산광역시,영도구,S.협회단체,338,302
부산광역시,부산진구,전체,16739,13474
부산광역시,부산진구,A.농림어업,0,0
부산광역시,부산진구,B.광업,0,0
부산광역시,부산진구,C.제조업,1002,893
부산광역시,부산진구,D.전기가스,1,1
부산광역시,부산진구,E.수도하수,11,12
부산광역시,부산진구,F.건설업,969,674
부산광역시,부산진구,G.도소매업,4166,3184
부산광역시,부산진구,H.운수창고,265,213
부산광역시,부산진구,I.숙박음식,3675,2569
부산광역시,부산진구,J.정보통신,138,138
부산광역시,부산진구,K.금융보험,709,656
부산광역시,부산진구,L.부동산업,989,904
부산광역시,부산진구,M.전문기술,697,684
부산광역시,부산진구,N.사업시설,526,462
부산광역시,부산진구,P.교육,810,686
부산광역시,부산진구,Q.보건복지,1197,1200
부산광역시,부산진구,R.예술스포츠,398,276
부산광역시,부산진구,S.협회단체,1186,922
부산광역시,동래구,전체,9506,7695
부산광역시,동래구,A.농림어업,2,3
