기준년,시도,행정구역,직종_중분류,신규구인인원,신규구직건수,취업건수,구인배율
21년,서울특별시,성동구,정보통신 설치·정비직,74,51,20,1.4509803921568627
21년,서울특별시,성동구,화학·환경 설치·정비·생산직,67,48,13,1.3958333333333333
21년,서울특별시,성동구,섬유·의복 생산직,78,225,45,0.3466666666666667
21년,서울특별시,성동구,식품가공·생산직,347,307,66,1.1302931596091206
21년,서울특별시,성동구,인쇄·목재·공예 및 기타 설치·정비·생산직,157,245,61,0.6408163265306123
21년,서울특별시,성동구,제조 단순직,560,277,68,2.0216606498194944
21년,서울특별시,성동구,농림어업직,0,106,34,0.0
21년,서울특별시,광진구,관리직(임원·부서장),45,956,245,0.04707112970711297
21년,서울특별시,광진구,경영·행정·사무직,2079,7601,2380,0.2735166425470333
21년,서울특별시,광진구,금융·보험직,63,410,111,0.15365853658536585
21년,서울특별시,광진구,인문·사회과학 연구직,3,36,9,0.08333333333333333
21년,서울특별시,광진구,자연·생명과학 연구직,4,95,35,0.042105263157894736
21년,서울특별시,광진구,정보통신 연구개발직 및 공학기술직,125,1352,411,0.09245562130177515
21년,서울특별시,광진구,건설·채굴 연구개발직 및 공학기술직,230,421,165,0.5463182897862233
21년,서울특별시,광진구,제조 연구개발직 및 공학기술직,88,710,235,0.12394366197183099
21년,서울특별시,광진구,교육직,80,790,179,0.10126582278481013
21년,서울특별시,광진구,법률직,1,183,55,0.00546448087431694
21년,서울특별시,광진구,사회복지·종교직,283,1274,349,0.22213500784929358
21년,서울특별시,광진구,경찰·소방·교도직,0,46,3,0.0
21년,서울특별시,광진구,군인,0,8,4,0.0
21년,서울특별시,광진구,보건·의료직,367,1230,417,0.2983739837398374
21년,서울특별시,광진구,예술·디자인·방송직,170,3420,945,0.049707602339181284
21년,서울특별시,광진구,스포츠·레크리에이션직,16,205,36,0.07804878048780488
